X,Y,Name
114,171,Dogger Bank C
336,575,Inch Cape
692,866,Inch Cape
730,844,Inch Cape
70,612,Inch Cape
295,577,Inch Cape
217,577,Inch Cape
71,567,Inch Cape
71,515,Inch Cape
72,471,Inch Cape
74,418,Inch Cape
91,374,Inch Cape
108,329,Inch Cape
688,684,Dogger Bank B
621,682,Dogger Bank B
560,676,Dogger Bank B
491,675,Dogger Bank B
429,670,Dogger Bank B
363,668,Dogger Bank B
297,665,Dogger Bank B
233,661,Dogger Bank B
167,658,Dogger Bank B
712,631,Dogger Bank B
623,629,Dogger Bank B
158,616,Dogger Bank B
226,602,Dogger Bank B
299,594,Dogger Bank B
372,587,Dogger Bank B
445,579,Dogger Bank B
518,571,Dogger Bank B
711,566,Dogger Bank B
591,563,Dogger Bank B
173,559,Dogger Bank B
664,555,Dogger Bank B
267,529,Dogger Bank B
340,521,Dogger Bank B
413,512,Dogger Bank B
485,505,Dogger Bank B
710,500,Dogger Bank B
558,498,Dogger Bank B
179,495,Dogger Bank B
632,490,Dogger Bank B
234,463,Dogger Bank B
307,455,Dogger Bank B
172,454,Dogger Bank B
380,447,Dogger Bank B
453,439,Dogger Bank B
709,435,Dogger Bank B
526,431,Dogger Bank B
599,423,Dogger Bank B
186,396,Dogger Bank B
275,389,Dogger Bank B
348,381,Dogger Bank B
708,370,Dogger Bank B
494,365,Dogger Bank B
567,357,Dogger Bank B
640,349,Dogger Bank B
192,332,Dogger Bank B
315,315,Dogger Bank B
388,307,Dogger Bank B
462,299,Dogger Bank B
607,283,Dogger Bank B
706,271,Dogger Bank B
199,267,Dogger Bank B
283,249,Dogger Bank B
356,241,Dogger Bank B
429,233,Dogger Bank B
192,226,Dogger Bank B
502,225,Dogger Bank B
575,218,Dogger Bank B
648,210,Dogger Bank B
705,206,Dogger Bank B
208,169,Dogger Bank B
397,167,Dogger Bank B
470,159,Dogger Bank B
543,151,Dogger Bank B
616,143,Dogger Bank B
264,143,Dogger Bank B
704,140,Dogger Bank B
327,126,Dogger Bank B
451,84,Dogger Bank B
647,81,Dogger Bank B
703,75,Dogger Bank B
548,440,Saint-Nazaire
479,419,Saint-Nazaire
586,410,Saint-Nazaire
407,400,Saint-Nazaire
506,388,Saint-Nazaire
622,382,Saint-Nazaire
335,382,Saint-Nazaire
454,373,Saint-Nazaire
573,369,Saint-Nazaire
263,362,Saint-Nazaire
409,360,Saint-Nazaire
533,357,Saint-Nazaire
659,352,Saint-Nazaire
368,349,Saint-Nazaire
484,344,Saint-Nazaire
192,343,Saint-Nazaire
610,339,Saint-Nazaire
328,336,Saint-Nazaire
562,326,Saint-Nazaire
121,325,Saint-Nazaire
289,324,Saint-Nazaire
701,319,Saint-Nazaire
513,313,Saint-Nazaire
249,311,Saint-Nazaire
465,300,Saint-Nazaire
209,300,Saint-Nazaire
587,294,Saint-Nazaire
327,293,Saint-Nazaire
168,291,Saint-Nazaire
417,283,Saint-Nazaire
541,282,Saint-Nazaire
281,277,Saint-Nazaire
677,280,Saint-Nazaire
130,277,Saint-Nazaire
496,270,Saint-Nazaire
622,267,Saint-Nazaire
235,261,Saint-Nazaire
453,257,Saint-Nazaire
574,256,Saint-Nazaire
321,247,Saint-Nazaire
189,246,Saint-Nazaire
527,243,Saint-Nazaire
416,240,Saint-Nazaire
278,230,Saint-Nazaire
145,229,Saint-Nazaire
482,226,Saint-Nazaire
236,214,Saint-Nazaire
348,212,Saint-Nazaire
529,202,Saint-Nazaire
194,198,Saint-Nazaire
156,185,Saint-Nazaire
257,174,Saint-Nazaire
188,146,Saint-Nazaire
271,130,Saint-Nazaire
150,131,Saint-Nazaire
224,118,Saint-Nazaire
184,106,Saint-Nazaire
145,90,Saint-Nazaire
233,60,Saint-Nazaire
549,456,Dogger Bank A
484,431,Dogger Bank A
594,410,Dogger Bank A
424,405,Dogger Bank A
517,389,Dogger Bank A
364,381,Dogger Bank A
639,363,Dogger Bank A
305,356,Dogger Bank A
548,352,Dogger Bank A
466,348,Dogger Bank A
245,331,Dogger Bank A
577,316,Dogger Bank A
496,311,Dogger Bank A
415,307,Dogger Bank A
185,307,Dogger Bank A
334,303,Dogger Bank A
706,294,Dogger Bank A
125,282,Dogger Bank A
527,274,Dogger Bank A
445,270,Dogger Bank A
364,265,Dogger Bank A
63,264,Dogger Bank A
283,261,Dogger Bank A
202,256,Dogger Bank A
751,247,Dogger Bank A
638,241,Dogger Bank A
476,233,Dogger Bank A
394,228,Dogger Bank A
42,229,Dogger Bank A
